Time,speed,steering_angle,wheel_speed_front_left,wheel_speed_front_right,wheel_speed_rear_left,wheel_speed_rear_right,radar_forward_distance,radar_left_distance,radar_relative_speed,radar_address,radar_new_track,raw_can_src,raw_can_address,accelerometer_forward,accelerometer_right,accelerometer_down,gory_forward,gory_right,gory_down,gyro_bias_forward,gyro_bias_right,gyro_bias_down,gyro_uncalibrated_forward,gyro_uncalibrated_right,gyro_uncalibrated_down,live_gnss_qcom_latitude,live_gnss_qcom_longitude,live_gnss_qcom_speed,live_gnss_qcom_utc_timestamp,live_gnss_qcom_altitude,live_gnss_qcom_bearing,live_gnss_ublox_latitude,live_gnss_ublox_longitude,live_gnss_ublox_speed,live_gnss_ublox_utc_timestamp,live_gnss_ublox_altitude,live_gnss_ublox_bearing,raw_gnss_qcom_prn,raw_gnss_qcom_week_of_gps_time_of_reception,raw_gnss_qcom_time_pf_week_of_gps_time_of_reception,raw_gnss_qcom_pseudorange,raw_gnss_qcom_pseudorange_std,raw_gnss_qcom_pseudorange_rate,raw_gnss_qcom_pseudorange_rate_std,raw_gnss_ublox_prn,raw_gnss_ublox_week_of_gps_time_of_reception,raw_gnss_ublox_time_pf_week_of_gps_time_of_reception,raw_gnss_ublox_pseudorange,raw_gnss_ublox_pseudorange_std,raw_gnss_ublox_pseudorange_rate,raw_gnss_ublox_pseudorange_rate_std,route_id,VIN,accident_category
0,12.87974766452804,20.20073836963938,60.81319651404772,52.249405727195196,81.39632889576072,22.135161632339116,195.8571391649762,-47.18721210271865,22.03971816651444,253,0,0.21697624258251835,822,7.933700845250897,-3.9328122801033905,-1.3810012453585259,0.3513949445382192,3.155400937645709,-7.114033897892265,0.02316581082710016,-0.07844736361506183,-0.06626049639978662,-0.024116034646546394,0.09183438104080305,0.020581257393270352,-85.71803075192267,-78.01450859782463,49.113053930585835,278394911061.9767,12.772907689134527,279.45141749702657,-59.20135703654897,142.4877608322334,11.528036024763471,99366416207.09601,286.97586310290933,85.7246815702429,5,765,1477,151.65681598179373,8.945637621057013,3.3023401015900546,5.0458475969198,45,570,960,7.049637852039936,8.481620059073144,4.594711982508266,0.9820312560386424,11,VIN_0,1
1,12.87974766452804,20.20073836963938,60.81319651404772,52.249405727195196,81.39632889576072,22.135161632339116,195.8571391649762,-47.18721210271865,22.03971816651444,253,0,0.21697624258251835,822,7.933700845250897,-3.9328122801033905,-1.3810012453585259,0.3513949445382192,3.155400937645709,-7.114033897892265,0.02316581082710016,-0.07844736361506183,-0.06626049639978662,-0.024116034646546394,0.09183438104080305,0.020581257393270352,-85.71803075192267,-78.01450859782463,49.113053930585835,278394911061.9767,12.772907689134527,279.45141749702657,-59.20135703654897,142.4877608322334,11.528036024763471,99366416207.09601,286.97586310290933,85.7246815702429,5,765,1477,151.65681598179373,8.945637621057013,3.3023401015900546,5.0458475969198,45,570,960,7.049637852039936,8.481620059073144,4.594711982508266,0.9820312560386424,11,VIN_0,1
2,12.87974766452804,20.20073836963938,60.81319651404772,52.249405727195196,81.39632889576072,22.135161632339116,195.8571391649762,-47.18721210271865,22.03971816651444,253,0,0.21697624258251835,822,7.933700845250897,-3.9328122801033905,-1.3810012453585259,0.3513949445382192,3.155400937645709,-7.114033897892265,0.02316581082710016,-0.07844736361506183,-0.06626049639978662,-0.024116034646546394,0.09183438104080305,0.020581257393270352,-85.71803075192267,-78.01450859782463,49.113053930585835,278394911061.9767,12.772907689134527,279.45141749702657,-59.20135703654897,142.4877608322334,11.528036024763471,99366416207.09601,286.97586310290933,85.7246815702429,5,765,1477,151.65681598179373,8.945637621057013,3.3023401015900546,5.0458475969198,45,570,960,7.049637852039936,8.481620059073144,4.594711982508266,0.9820312560386424,11,VIN_0,1
3,8.838218238959472,-37.731220931317125,36.65100063891325,45.04266157095375,67.93625297692073,4.818443546232764,103.97027891347406,40.360886617715124,-27.974648621010733,575,0,4.5458903746432195,160,6.2462017903055305,-1.9653885850404293,-7.044569836272798,8.93670596591619,5.1835415161983605,4.531908099418864,-0.005515654930076552,-0.009540133859937211,0.0019500487242691406,0.04281211656971931,-0.09529405063223416,0.05260833240380339,14.385721989192959,-10.402927407950784,4.744124059915173,501524551900.3408,558.7872944380706,179.29017632804332,-20.352883938449537,-75.48454221689205,23.272970003699783,888262147139.7678,676.7785573625765,82.47495430521762,43,1559,1758,111.93665048428313,4.89693974920694,8.432884978632982,5.4011510688941105,4,246,996,70.09332180437424,5.781062082362455,9.246087804427972,9.381192262714729,31,VIN_0,0
4,85.92712087296826,8.548368063735573,68.179953186995,85.63464729512329,70.97859053605497,84.46153582945682,112.30113651239107,-44.37860144382182,-24.720220545025043,154,0,8.067341961143569,343,9.766722748269498,-7.580384910243652,-2.076269692382313,-1.570059931325499,-3.8493579879135797,-5.357095574292594,-0.0718363054080168,-0.002296900160658019,0.09839858049219002,0.027902994879235393,0.044702751188694184,-0.09349511039943809,-80.81161641016628,36.72627876153592,0.16836296524126992,870171858807.4213,385.81554641217843,348.23198255890566,-50.073997262808476,-115.49047029036417,17.8634120859878,536316805820.5886,701.3678094150126,143.7614966555599,8,630,1825,104.83631986228914,4.763619271919018,3.065845929135247,8.875905808906683,3,1068,1211,183.9425159025802,3.2591133062106903,9.132931485536329,5.238893591446913,48,VIN_0,0
5,93.42679756620689,0.7653648495370504,48.97254467739878,74.22380219473084,62.514920383798426,70.54882316565153,115.9732173861426,-28.187629742803367,-15.981405821603987,880,0,6.801437912375121,197,-3.68656248302411,-1.847639427044264,6.027971224682489,1.1275001844279195,8.867776982375997,-1.2250856950741884,0.02203034354925615,-0.07495075804967954,-0.07280771041372958,0.015620144480514297,0.09381301221560173,0.06498581312332591,64.93718724622005,-87.21067548244596,16.937085125979173,45917518831.469574,774.8790418013187,132.7844443598219,-59.76403969486336,37.2549273907953,16.0751143832981,754053528428.04,985.4138542944908,160.3940754241639,13,1845,1695,50.14570585874274,9.944999233083491,0.06638625487141003,6.032384449245612,29,683,854,5.450270099397092,0.2502163056541129,3.193634081404624,2.0123181271330415,37,VIN_0,0
6,82.38035297708868,-31.702565356466305,19.2817238822347,12.02179396346299,0.07817401079682762,38.47005710332208,128.89370689675255,-32.61319474677351,7.536232488452185,862,1,6.409554873934219,771,-2.7683032669412677,1.9921977972533362,-4.6477763545462984,-0.9117583865262819,-4.736301865931612,-9.130850012197465,0.012819545081909661,-0.002779687303550049,-0.08311997601952062,0.08758146315736148,0.07078696162273687,-0.0343496370075677,-1.4146410176433761,-133.23857062496532,11.57986083159767,348886975199.51373,145.49773886176044,15.962930506897868,-15.606639037348955,-108.27579955098764,42.6615217082776,650082564710.0326,59.74564848124253,68.71866875556839,22,377,1965,163.0401070016045,8.060755616160604,2.7646133867144975,6.712353306570334,37,1479,1997,106.55248533060877,2.099409931813815,8.506894411190073,0.9448209504109362,77,VIN_0,0
7,3.647953171724616,14.924058924983498,96.20645287718274,87.49526768069076,62.35170368465533,69.16018082324916,57.00418301536509,12.446659065785596,8.307866650105659,448,0,-1.773541273034681,307,4.376333676300337,1.3856809235540162,-9.283425156993424,-7.250589055988854,-9.636800815563571,-8.15295120632859,-0.011438618357880626,0.08880067124393201,-0.0395032266703949,0.020055261118538725,-0.07295179279417417,0.03819534082353965,-74.64980548172696,48.01506649191842,11.675586538018933,349290698066.7806,530.4732171166693,103.79361076541387,-26.931779386566177,-115.31252468026088,22.891257382529478,819822802870.775,873.5283448473793,100.65531905123618,49,669,1075,163.68303314401743,5.175829296435698,2.131602522086996,1.830109694409513,21,1002,272,128.55697049415437,7.508546003283517,5.440123662266049,0.6189172336821669,10,VIN_0,0
8,56.98112283691638,-7.693349789883335,50.10844930183184,64.06768303105636,1.2580297634802617,18.33296269721787,132.80483362533454,-15.252048166564727,9.530378129048806,192,0,-3.403984598527856,695,8.91726163405415,7.696850561617076,0.1640820857155827,-3.8284577977574985,4.012842517893841,-0.9954782674597631,0.022679673122939017,-0.06573619857499355,0.02071698906343318,-0.05354463287395242,0.05918912708016397,-0.07616998528580554,11.630904900975864,-25.058033647839608,7.289586904407852,250354737446.85977,895.2925158017462,149.3146965103152,55.43439564050806,-122.44796551492186,11.976235195519159,329523057938.69385,64.96234956630775,48.30775297339404,32,1840,1623,110.77771353822044,3.4790070022713895,7.1278246196666775,4.508481082624006,33,1920,1580,100.0426557954354,2.6769765147958235,2.9943187908744484,8.29964390153616,14,VIN_0,0
9,59.54573524649118,-2.4721823258185225,10.425928104662107,49.674974011897675,48.53503338322793,28.62647243476505,7.070782459845737,-48.12757295655635,26.662516136886502,652,0,9.099547715823206,100,0.38708097790157225,-7.430239141848491,7.310274189819463,-4.057811940586211,5.657318544851375,8.565270571088519,0.06703162890083741,0.09092109943619417,0.026272471698438465,0.02962812627743741,0.07737257801766961,0.01725741404758703,13.601051452526093,-26.8570427721412,23.14870681095776,6814895113.12576,935.9799084489337,101.63235820296036,-85.29558503650817,7.579348176426976,13.868186932751847,813976042240.6979,11.176895667791232,157.27246443455292,11,941,1782,146.16426983816066,1.7940055113220121,2.4880852333148153,8.170903507461846,9,48,522,73.61070682390516,0.692176567872278,3.743766860524753,7.941827328517456,87,VIN_0,0
